id,name,degree,norm_degree,eigenvector,closeness
4,Mark Bailey MP - Labor for Miller,41,0.007199297629499561,0.0001721963084971057,0.2324679565678831
13645,Jo-Ann Miller MP,54,0.00948200175592625,0.0006076935891151442,0.27577357028715316
20876,Senator Claire Moore,32,0.005618964003511853,0.0002093646843560823,0.2344103725046306
11446,Shane King MP-  Labor for Kurwongbah,19,0.0033362598770851626,7.291448563319437e-05,0.22202729044834307
16203,Craig Crawford - Labor For Barron River,49,0.008604038630377524,0.00019356710465331196,0.2324869366427172
2830,Leanne Linard MP,19,0.0033362598770851626,8.465548908174904e-05,0.2202753925891545
20624,Aaron Harper MP,33,0.005794556628621598,0.00011757492755148573,0.22557135501247674
21280,Jackie Trad,44,0.0077260755048287975,0.0002179006949502274,0.22917505030181087
21538,Grace Grace MP,25,0.004389815627743635,9.283432973683423e-05,0.22440696666403973
1443,Senator Chris Ketter,63,0.01106233538191396,0.00031696110814241255,0.2334016393442623
187,Bill Shorten MP,131,0.023002633889376647,0.0009271976345150037,0.2547300621729212
5730,Di Farmer MP,16,0.0028094820017559264,7.506411193994275e-05,0.2231320769502018
2983,Stirling Hinchliffe MP,35,0.006145741878841089,0.00014734763955534446,0.23027778900974485
6823,Mark Ryan MP,43,0.007550482879719052,0.0002084688294900351,0.23895439097050308
11102,Anthony Albanese MP,140,0.024582967515364356,0.0008574853567948941,0.2746961219371021
17242,Joe Kelly MP,19,0.0033362598770851626,9.288401161693867e-05,0.22538388475542187
10018,Dr Anthony Lynham,30,0.0052677787532923615,0.00010946138409801525,0.22446888179417446
5147,Linus Power,28,0.004916593503072871,0.00012969370239913154,0.2308752584424535
6427,Luke Howarth,31,0.005443371378402107,5.011770657996849e-05,0.23858399664851276
14628,Andrew Leigh MP,69,0.012115891132572432,0.000433505102871761,0.2331913848169683
1882,Don Brown MP,27,0.004741000877963125,0.00014721988840823703,0.2313911912888022
