id,bonacich_neutral,bonacich_supportive,bonacich_suppressive,name
4,0.013287279062872106,0.017781424658108953,0.009363286960703881,Mark Bailey MP - Labor for Miller
13645,0.013304589855067491,0.022533774871310513,0.008190904692218788,Jo-Ann Miller MP
20876,0.013275374829155952,0.017938672038013085,0.011295662424092658,Senator Claire Moore
11446,0.013258024818827176,0.010918719015632414,0.012117243246007218,Shane King MP-  Labor for Kurwongbah
16203,0.013297896536689162,0.01961752687621517,0.008050029181471643,Craig Crawford - Labor For Barron River
2830,0.01325803558341585,0.011319620023800075,0.012294698545702847,Leanne Linard MP
20624,0.013276620215404015,0.014324459944267738,0.01011066226649025,Aaron Harper MP
21280,0.013291293898572223,0.020128915953312915,0.009253666871935604,Jackie Trad
21538,0.013265994395654172,0.012392156998784244,0.011238550405258303,Grace Grace MP
1443,0.013316546973649857,0.026005222880155707,0.006626645825583784,Senator Chris Ketter
187,0.013406936216335172,0.04723646817373378,-0.002696613924082401,Bill Shorten MP
5730,0.013254051394941683,0.01053109558606839,0.012728025661869587,Di Farmer MP
2983,0.013279297771249315,0.01581280919731627,0.010097203724960731,Stirling Hinchliffe MP
6823,0.013289968963885497,0.019618466961860943,0.009575272346474544,Mark Ryan MP
11102,0.01341881066447085,0.04619834243596514,-0.005056499865460484,Anthony Albanese MP
17242,0.013258047806980137,0.011635509186108716,0.012479586886722446,Joe Kelly MP
10018,0.013272636050467185,0.013742820264785216,0.01050564875717721,Dr Anthony Lynham
5147,0.01327001011003653,0.014425477854816312,0.011248016917192336,Linus Power
6427,0.013273983209785732,0.012152967017557801,0.010887004013776768,Luke Howarth
14628,0.013324587870934986,0.03161884150399712,0.0064903199847859165,Andrew Leigh MP
1882,0.013268698788795254,0.01468543212065337,0.01165416693013479,Don Brown MP
22401,0.013276613735502887,0.014319287267168287,0.00994673073885578,Duncan Pegg - Member for Stretton
16128,0.013307210437831356,0.02212870295831734,0.007178911638871478,Annastacia Palaszczuk MP
12872,0.013301915983151258,0.021647177282818994,0.008069365472366656,Nikki Boyd MP
9263,0.013301933948860856,0.022635074214056677,0.008335066717396285,Mick de Brenni for Springwood
14155,0.01326998379987566,0.013607367538898898,0.010834560804573904,Leeanne Enoch MP
21631,0.013327220123480959,0.030575017730268963,0.00595553254329922,Jess Pugh for Mount Ommaney
6329,0.013260668037157286,0.010864247332661704,0.011652460631635959,Joan Pease MP
2282,0.013328574408285323,0.031985530526690405,0.006141466616825251,Jim Chalmers MP - Member for Rankin
9706,0.01329125993433856,0.018479127547684174,0.008865151717089915,Coralee O'Rourke MP
4738,0.01334580632636228,0.03451108064023419,0.0036090474539855187,Cathy O'Toole MP
3676,0.01333254331261104,0.03219422800148389,0.005451742065307316,Tony Burke MP
16972,0.01341094257496782,0.04660806750497941,-0.0025843407950736953,Terri Butler MP
5356,0.013272653994839251,0.014404519757042582,0.010787170249186646,Peter Russo - Labor for Toohey
8514,0.013291357535543086,0.023128058563880446,0.010063595715047098,Graham Perrett MP
14332,0.013254038747694439,0.010016849948011447,0.012581895980479523,Julieanne Gilbert Member for Mackay
7212,0.013255364819831658,0.010188666379395096,0.012394095044576284,Glenn Butcher - Member for Gladstone
1377,0.01336176756524245,0.03835641241032331,0.0021293525589646985,Tanya Plibersek
1997,0.013255383311072616,0.010940976986815721,0.012648686009542375,Jim Madden - Labor for Ipswich West
7813,0.01325536376355763,0.010193847421646732,0.012360847370263888,Mark Furner MP for Ferny Grove
3891,0.01328722535295022,0.015876932285394937,0.008557242196488683,Curtis Pitt MP
4109,0.013273994832518442,0.015152724065127078,0.010803870299787537,Melissa McMahon - Labor candidate for Macalister
5,0.01325798268359383,0.008252896996499254,0.011696098787831668,Victor Dominello MP
8288,0.013259296917926915,0.00809985310928309,0.011359951479177344,Jillian Skinner MP
9206,0.013243384136996758,0.00648930630341502,0.013421557006791622,Adam Crouch MP – Member for Terrigal
1840,0.013255337464134301,0.008174873396010324,0.01215843211333029,Melinda Pavey
17845,0.013244722152901468,0.006877564410372204,0.013446938889730439,Gabrielle Upton
17411,0.013261945330511853,0.00828290427107828,0.010955453464513737,Pru Goward
21768,0.01324339476283854,0.00673285005444109,0.01359681960842312,Troy Grant
15735,0.013273858551212008,0.00909769927348771,0.009029855368054562,Rob Stokes
18468,0.01325002590011519,0.007474394743297719,0.012715652291606507,Andrew Constance MP
21755,0.013259385433264754,0.010284672103142324,0.012687933157898556,Craig Laundy
14111,0.01325663123936818,0.007529441448279929,0.01149022687179647,Melanie Gibbons MP
20510,0.013324345122230111,0.017387736125880533,0.0036415012254280834,Bruce Notley-Smith MP
945,0.01333905535107298,0.02149185651928192,0.003789507539058403,Tony Abbott
14862,0.013382871373558652,0.027832040935506647,-0.001116429201004751,Malcolm Turnbull
6946,0.013255342634244077,0.008243672418731184,0.012255527709873095,"Geoff Lee - MP, Seat of Parramatta"
12902,0.013269886995002048,0.008838525980612421,0.009659406680429776,Scott Farlow MLC
4808,0.013281901365181436,0.012145981589789967,0.009193515587706338,Mark Coure MP
14241,0.01325662672855418,0.00745836858089609,0.011408561662261894,Chris Patterson MP
7106,0.013247362599090429,0.006901332273588296,0.012907794293614107,Gareth Ward
18497,0.013254061368810844,0.009263872810310412,0.013082628368425579,John Alexander
6,0.013252774567152927,0.010215642106947287,0.014178625625703198,Jean-Claude Poissant
18893,0.013276683369670151,0.014454577427668484,0.011305992100463312,Nicola Di Iorio Ad. E.
1193,0.013406633641653435,0.03145476672564129,-0.00805667205769455,Marc Serré
4000,0.013382794344669971,0.02916579050589686,-0.004086045666264607,Michel Picard
12625,0.01326861040273395,0.009333490350086595,0.010732108074373263,Laurent Lessard
290,0.013439785512805601,0.035856412173058724,-0.012974403999131653,Marie-Claude Bibeau
22261,0.013274035158040768,0.014058163080787087,0.011846454700121236,Eva Nassif
13966,0.013336393619319148,0.02295638270691161,0.0031779265026890963,Denis Paradis
3300,0.013405312264360744,0.03157138786822516,-0.007923581768982656,Michael McLeod
22403,0.013427855242611206,0.03444329829893854,-0.011195552921623619,Dr. Hedy Fry
18782,0.013287307350286283,0.016157227245420586,0.010073924684395807,Marc Miller
5066,0.013278005323578895,0.014513164085530177,0.011047032107126327,Fayçal El-Khoury
17038,0.01325675705720251,0.01097409426693776,0.013631053902769474,Anju Dhillon
3816,0.01327919622325003,0.00987373567858487,0.008937575439930028,Richard Merlini Député de La Prairie
12645,0.013313829848421235,0.019950180213294075,0.0059409965770912745,Emmanuel Dubourg
