id,name,degree,norm_degree,eigenvector,closeness,degree_rank,eigenvector_rank,closeness_rank
11003,Barack Obama,196,0.034416154521510096,0.015177579652660495,0.3522172057641165,6,222,1
3906,Michael Roth,117,0.02054433713784021,0.09809716893354412,0.3093427485062466,31,29,2
18819,Niels Annen,177,0.031079894644424934,0.14628537038440187,0.3074058080535464,8,8,3
19877,Tanja Fajon,45,0.007901668129938543,0.007994579523073092,0.30204189870060993,279,302,4
14862,Malcolm Turnbull,113,0.019841966637401228,0.0008557401006262641,0.29964221824686943,35,706,5
6357,Mariano Rajoy Brey,64,0.011237928007023706,0.0040065756037719865,0.2992800462452047,129,415,6
11719,Achim Post,126,0.02212467076382792,0.13008575526460137,0.2989972174095658,26,13,7
11149,Peter Tauber,108,0.0189640035118525,0.012640064378024589,0.2968000833854492,38,251,8
9554,Dietmar Nietan,133,0.023353819139596138,0.13548738214235526,0.2939051452753264,21,11,9
5448,Hillary Clinton,61,0.010711150131694469,0.0076632443002513425,0.29382932617892893,141,311,10
